Time,Throughput
0,11.884297367876178
1,19.722614404198726
2,40.852521239949276
3,7.146268531252619
4,7.238884778595144
5,18.164659088777555
6,17.737526006650306
7,23.97938836547761
8,19.43605654757807
9,31.811492200320078
10,37.179326953624525
11,39.42228394993513
12,38.86526386252975
13,6.008513777307732
14,9.834365135631014
15,18.97278931758894
16,12.411943504819142
17,23.618939758194493
18,46.38466212936811
19,33.0956561353984
20,13.409457448131556
21,24.23353662868017
22,25.453274153461546
23,39.29351790291454
24,39.85241090598682
25,40.28637015553649
26,16.910794955187637
27,18.243549437948214
28,21.664409598415727
29,34.483568432166614
