Time,Throughput
0,16.843366544364507
1,20.533305938363196
2,34.70549534009952
3,17.107182740780743
4,28.539920905705376
5,23.4725236165273
6,20.231293418553776
7,36.363828898817374
8,17.277763798582697
9,22.29046749078179
10,29.803964739747357
11,35.006582776991536
12,36.70098118323438
13,34.535528737804135
14,37.24152357614206
15,21.904125781572603
16,37.854719755546704
17,31.69834830401006
18,8.77348030260628
19,13.026294923930841
20,6.903998267862059
21,21.557025766770202
22,20.621343302055685
23,17.8737192891058
24,23.518154861350922
25,29.90484413843951
26,24.77309760271273
27,30.941183107930204
28,15.994181439386564
29,11.760276982571483
