Time,Throughput
0,15.648167938789591
1,21.729835439167367
2,9.896155999388082
3,18.098352577681737
4,27.3744990449919
5,14.518810238232398
6,17.305939953554724
7,27.858137748297573
8,41.75649527430942
9,63.70094767167237
10,93.6250516447884
11,94.71248005714165
12,92.72327205009528
13,90.70976049078975
14,91.9283479217801
15,95.12928731162802
16,92.17409413647634
17,91.40198529906826
18,91.56065622432497
19,92.7142251430235
20,90.38301279421363
21,90.99648591283092
22,93.83080423540414
23,92.65750221931937
24,92.19415509869609
25,93.93728998106577
26,90.5958938122453
27,91.34467570680447
28,46.592240554129155
29,69.52211054435978
