Time,Throughput
0,15.993428306022466
1,22.22347139765763
2,9.531693250553328
3,14.531726086101639
4,13.158425631014783
5,16.534869458305817
6,21.561051228130097
7,34.83512008717193
8,51.10892454313207
9,72.1109395106844
10,75.91183775933115
11,80.56599466519054
12,84.86879753784311
13,83.48594739902693
14,84.84873455094963
15,88.15934517941973
16,88.7362226201624
17,89.41661250041345
18,9.973005550524132
19,12.884578142088198
20,24.145089824206377
21,31.308312700057954
22,47.96862790220314
23,76.33122247173824
24,11.476933159990821
25,15.34273656237994
26,22.268703435223518
27,33.14779260882142
28,49.70372245808043
29,78.05174445243783
