Time,Throughput
0,37.16925851589917
1,87.35870935446928
2,94.67742857666798
3,95.80810171362907
4,95.51510078144553
5,94.85110816846766
6,91.16245756940192
7,66.44697224910156
8,46.67046041988205
9,56.67648422497057
10,57.965278070437755
11,69.35309468466723
12,88.83564562903004
13,96.50386606537354
14,97.8055886218722
15,92.19629787441544
16,64.51892734973862
17,70.56740454079446
18,75.19867313786773
19,88.83712594961206
20,93.1611515315324
21,98.09986881003508
22,93.43349341532753
23,94.35587696758864
24,96.62703443473934
25,92.53827136713208
26,63.28503353087754
27,72.0692677170646
28,78.81976558849685
29,90.26364574355462
